startphrase,ending1,ending2,labels,valid
Her word had the strength of titanium.,Her promises can be believed.,Her promises cannot be trusted.,0,1
Her word had the strength of a wine glass.,Her promises can be believed.,Her promises cannot be trusted.,1,1
His kisses have the passion of lovers meeting after a long separation.,His kisses are demonstrative and intense.,His kiss is unemotional.,0,1
His kisses have the passion of a couple in a loveless marriage.,His kisses are demonstrative and intense.,His kiss is unemotional.,1,1
This winter is as cold as my mother-in-law towards me,It's very cold,It's pretty warm,0,1
This winter is as cold as Death Valley at noon,It's very cold,It's pretty warm,1,1
The dog was as grumpy as an old man,he was mean,he was nice,0,1
The dog was as grumpy as a kindergarten teacher,he was mean,he was nice,1,1
The voyage was as long as a lifetime,The voyage was very long,The voyage as short.,0,1
The voyage was as long as the blink of an eye,The voyage was very long,The voyage as short.,1,1
He had all the wealth of a tycoon,He was rich.,He was poor.,0,1
He had all the wealth of a hobo,He was rich.,He was poor.,1,1
It smells like a freshly baked cookies on Christmas morning,It smells great,It smells awful,0,1
It smells like a cesspool sitting in the hot sun,It smells great,It smells awful,1,1
The conversation is a bank vault,The conversation is worthwhile.,The conversation is meaningless.,0,1
The conversation is a 25 cent off coupon,The conversation is worthwhile.,The conversation is meaningless.,1,1
The motivational push was a bulldozer,The motivational push was very motivating.,The motivational push didn't work well.,0,1
The motivational push was a light breeze,The motivational push was very motivating.,The motivational push didn't work well.,1,1
Money is a helpful stranger,Money is good,Money is bad,0,1
Money is a murderer,Money is good,Money is bad,1,1
The conversation was the OJ Simpson trial,The conversation was long,The conversation was short,0,1
The conversation was a cigarette break,The conversation was long,The conversation was short,1,1
The seas on the voyage were glass,The seas were calm,The seas were rough,0,1
The seas on the voyage were a rock quarry,The seas were calm,The seas were rough,1,1
The student was as helpful as medicine,he was a big help,he was not needed,0,1
The student was as helpful as a punch in the face,he was a big help,he was not needed,1,1
Their relationship has the heat of Miami in August,Their relationship is passionate,Their relationship is lacking passion.,0,1
Their relationship has the heat of an igloo.,Their relationship is passionate,Their relationship is lacking passion.,1,1
The voyage will be a walk through fire.,The voyage will be difficult and arduous.,The voyage will be pleasant.,0,1
The voyage will be a walk through flowers.,The voyage will be difficult and arduous.,The voyage will be pleasant.,1,1
"For him, earning money was oxygen.",Making money kept him alive.,Making money was killing him.,0,1
"For him, earning money was a rope around his neck.",Making money kept him alive.,Making money was killing him.,1,1
The speaker was as quiet as a newborn baby.,The speaker was very quiet.,The speaker was actually rather loud.,0,1
The speaker was as quiet as a freight train.,The speaker was very quiet.,The speaker was actually rather loud.,1,1
The man was as cool as ice,The man was very cool.,The man wasn't cool at all.,0,1
The man was as cool as sunburn,The man was very cool.,The man wasn't cool at all.,1,1
The wedding planner was an imposter.,The wedding planner did a horrible job planning the wedding.,The wedding planner did wonderfully planning the wedding.,0,1
The wedding planner was a magician.,The wedding planner did a horrible job planning the wedding.,The wedding planner did wonderfully planning the wedding.,1,1
The dancer moved like a butterfly,the dancer is graceful,The dancer is lead footed,0,1
The dancer moved like a horse.,the dancer is graceful,The dancer is lead footed,1,1
the pizza tastes like homemade,it's delicious,it's garbage,0,1
the pizza tastes like yesterdays leftovers,it's delicious,it's garbage,1,1
The painting had the creativity of a bowl of oatmeal,The movie was really dull.,The movie was really creative.,0,1
The painting had the creativity of a James Cameron movie,The movie was really dull.,The movie was really creative.,1,1
The child was as religious as a priest,The child was very religious,The child was not religious,0,1
The child was as religious as a sinner,The child was very religious,The child was not religious,1,1
The woman was as kind as a teacher,The woman was kind,The woman was cruel,0,1
The woman was as kind as a prisoner,The woman was kind,The woman was cruel,1,1
The test is as easy as a Sunday  morning,the test is easy,the test is hard,0,1
The test is as easy as rocket science,the test is easy,the test is hard,1,1
She is happy as a clam,she is elated,she is mad,0,1
She is happy as a bear that stepped on a thorn,she is elated,she is mad,1,1
The employee is sharp as a razor,The employee is smart.,The employee is dumb.,0,1
The employee is sharp as a bowling ball,The employee is smart.,The employee is dumb.,1,1
The tourist thought the bed at the hotel felt like velvet,The bed was soft.,The bed was hard.,0,1
The tourist thought the bed at the hotel felt like marble,The bed was soft.,The bed was hard.,1,1
When the rubber hits the road. life gets real,things get intense,things get worse,0,1
When the rubber hits the road. things go  down hill,things get intense,things get worse,1,1
The pianist's performance was a game of whack-a-mole.,The pianist's performance was sloppy.,The pianist's performance was meticulous.,0,1
The pianist's performance was the weaving of an ornate Persian carpet.,The pianist's performance was sloppy.,The pianist's performance was meticulous.,1,1
The girl's personality was as sweet as a grapefruit,The girl had a very surly personality.,The girl had a sweet personality.,0,1
The girl's personality was as sweet as a donut,The girl had a very surly personality.,The girl had a sweet personality.,1,1
The movie had as much meaning as a Hallmark card,The movie's meaning was frivolous.,The movie was laden with meaning.,0,1
The movie had as much meaning as the Bible,The movie's meaning was frivolous.,The movie was laden with meaning.,1,1
The jazz solo sounded as smooth as silk,The jazz solo sounded nice and smooth,The jazz solo sounded rough and bad,0,1
The jazz solo sounded as smooth as sandpaper,The jazz solo sounded nice and smooth,The jazz solo sounded rough and bad,1,1
Her hangover made her feel like death,Her hangover made her feel terrible.,Her hangover didn't hurt her at all.,0,1
Her hangover made her feel like a sunrise,Her hangover made her feel terrible.,Her hangover didn't hurt her at all.,1,1
The room was as open as a farm.,The room was very open.,The room wasn't open at all.,0,1
The room was as open as a city.,The room was very open.,The room wasn't open at all.,1,1
His joints have the crackle of a bowl of Rice Krispies,His joints are quite crackly,His joints do not crackle,0,1
His joints have the crackle of a pre-popped roll of bubble wrap,His joints are quite crackly,His joints do not crackle,1,1
The lightbulb is putting out the light of a massive forest fire on a dark night,The lightbulb is putting out a lot of light,The lightbulb is putting out no light,0,1
The lightbulb is putting out the light of a massive black hole in the darkness of space,The lightbulb is putting out a lot of light,The lightbulb is putting out no light,1,1
The thrift store had the variety of a monochrome print.,The thrift store had a limited selection.,The thrift store had a varied selection.,0,1
The thrift store had the variety of a dazzling tapestry.,The thrift store had a limited selection.,The thrift store had a varied selection.,1,1
The doctor was a Norse villain.,The doctor was mean.,The doctor was kind and charming.,0,1
The doctor was a fairytale prince.,The doctor was mean.,The doctor was kind and charming.,1,1
The sound of the glass shattering was like Hiroshima,The sound was loud,The sound was quiet,0,1
The sound of the glass shattering was like a lullaby,The sound was loud,The sound was quiet,1,1
She was a bear at dinner,She ate a lot,She ate very little,0,1
She was a mouse at dinner,She ate a lot,She ate very little,1,1
The armor was tough as iron,The armor was tough,The armor was breakable and weak,0,1
The armor was tough as glass,The armor was tough,The armor was breakable and weak,1,1
The toy was cared for like a baby,The toy was taken good care of,The toy was not cared for well at all.,0,1
The toy was cared for like trash,The toy was taken good care of,The toy was not cared for well at all.,1,1
The lawyer's negotiation tactics were like steel,The lawyer's negotiation tactics were tough.,The lawyer's negotiation tactics were lenient.,0,1
The lawyer's negotiation tactics were like a fuzzy bathrobe,The lawyer's negotiation tactics were tough.,The lawyer's negotiation tactics were lenient.,1,1
The plastic plate shattered and looked like A spiderweb,It shattered into a lot of pieces.,It only shattered into 2 pieces.,0,1
The plastic plate shattered and looked like A half moon,It shattered into a lot of pieces.,It only shattered into 2 pieces.,1,1
The apartment was as high up as The empire State building observation deck.,The apartment was on the high floor.,The apartment was only a few floors up,0,1
The apartment was as high up as A treehouse in the backyard,The apartment was on the high floor.,The apartment was only a few floors up,1,1
The man had the features of a Greek god,The man was very attractive,The man was goofy and ugly,0,1
The man had the features of a clown,The man was very attractive,The man was goofy and ugly,1,1
The pug was wheezing in dog form.,The dog is tired and has trouble breathing.,The dog has a ton of energy.,0,1
The pug was lightning in dog form.,The dog is tired and has trouble breathing.,The dog has a ton of energy.,1,1
That movie has the humor of a nun.,The movie is not funny.,The movie is very funny.,0,1
That movie has the humor of a clown bus.,The movie is not funny.,The movie is very funny.,1,1
The movie has a depth of A crater.,The movie has a deep meaning.,The movie is superficial.,0,1
The movie has a depth of A crack.,The movie has a deep meaning.,The movie is superficial.,1,1
The gambler thought his odds were as low as the ground.,His odds were low.,His odds were actually high.,0,1
The gambler thought his odds were as low as the moon.,His odds were low.,His odds were actually high.,1,1
The dancer was as graceful as a swan.,The dancer was graceful.,The dancer was boorish and uncoordinated.,0,1
The dancer was as graceful as a honking goose.,The dancer was graceful.,The dancer was boorish and uncoordinated.,1,1
He was as smart as A tree stump,The person is dumb,The person is a genius,0,1
He was as smart as EINSTEIN,The person is dumb,The person is a genius,1,1
The stock value was a geyser,The stock value increased.,The stock value stayed stagnant.,0,1
The stock value was a puddle,The stock value increased.,The stock value stayed stagnant.,1,1
The couch had all the comfort of a thornbush.,The couch was very comfortable.,The couch was not very comfortable.,0,1
The couch had all the comfort of a grandma's hug.,The couch was very comfortable.,The couch was not very comfortable.,1,1
The ballerina has all to grace of A club-footed drunk,The ballerina is clumsy,The ballerina is graceful,0,1
The ballerina has all to grace of A swan gently swimming in a pond,The ballerina is clumsy,The ballerina is graceful,1,1
The tennis match contained all the suspense of A boring and endless Monopoly game,The tennis match is tedious and boring,The tennis match is suspenseful and exciting,0,1
The tennis match contained all the suspense of An Alfred Hitchcock movie,The tennis match is tedious and boring,The tennis match is suspenseful and exciting,1,1
He is faithful as a church goer,he is good,he is bad,0,1
He is faithful as a strip club VIP,he is good,he is bad,1,1
The incense had the smell of a homemade apple pie after skipping lunch,The incense smelled quite good,The incense didn't smell good at all,0,1
The incense had the smell of a wet dog wearing gym socks,The incense smelled quite good,The incense didn't smell good at all,1,1
The girl had the thirst of a man after finishing a 128 oz slushie,The girl was not thirsty,The girl was very thirsty,0,1
The girl had the thirst of a mid-'00s SUV after a short drive,The girl was not thirsty,The girl was very thirsty,1,1
The backpack had the space of a school bus in the middle of the night,The backpack had a lot of space,There was little space in the backpack,0,1
The backpack had the space of a school bus on a field trip to a pizza party,The backpack had a lot of space,There was little space in the backpack,1,1
The coffee was as strong as an army,The coffee was very strong,The coffee was very weak,0,1
The coffee was as strong as diluted milk,The coffee was very strong,The coffee was very weak,1,1
The room was as dark as a pay phone,The room was very dark,"The room was not dark, but not well lit",0,1
The room was as dark as a raincloud,The room was very dark,"The room was not dark, but not well lit",1,1
The sun shined like a flame.,The sun was very bright.,"The sun was dim or obscured, not bright at all.",0,1
The sun shined like a burned-out bulb.,The sun was very bright.,"The sun was dim or obscured, not bright at all.",1,1
Christmas was as lively as a party.,Christmas was lively and festive.,"Christmas was quiet, lonely, and devoid of activity.",0,1
Christmas was as lively as a morgue.,Christmas was lively and festive.,"Christmas was quiet, lonely, and devoid of activity.",1,1
The movie has the thrill of a dentist's visit,The movie is dull.,The movie is exciting.,0,1
The movie has the thrill of a carnival ride,The movie is dull.,The movie is exciting.,1,1
The book plot has the novelty of an iPhone 4,The book plot is stale.,The book plot is really novel.,0,1
The book plot has the novelty of a robot with feelings,The book plot is stale.,The book plot is really novel.,1,1
"My shoulder hurts as much as stepping on a jagged, rusty nail",It hurts a lot,It barely hurts at all,0,1
My shoulder hurts as much as getting hit with a silk pillow,It hurts a lot,It barely hurts at all,1,1
The hostess is a dental drill.,The hostess is unpleasant.,The hostess is delightful.,0,1
The hostess is a sweet potato pie.,The hostess is unpleasant.,The hostess is delightful.,1,1
The wrinkle cream is an outhouse.,The wrinkle cream is disgusting.,The wrinkle cream is pleasant.,0,1
The wrinkle cream is a purring kitten.,The wrinkle cream is disgusting.,The wrinkle cream is pleasant.,1,1
She was gleaming like headlights,she was bright,she was dark,0,1
She was gleaming like midnight,she was bright,she was dark,1,1
This sand is as coarse as a silkworm's thread,It's not coarse at all,It's very rough,0,1
This sand is as coarse as the discourse at a Thanksgiving dinner,It's not coarse at all,It's very rough,1,1
The pool has the wetness of the planet Kamino,It's very wet,It's very dry,0,1
